FID,roof,road,watr,conc,Veg,dry,irr,H,W
111,0.253208506,0.177382355,0.000434001,0,0.061132122,0.485460971,0.022382045,4,22.40374481
112,0.280714911,0.289901262,0.007249094,0,0.122047244,0.191101112,0.108986377,4,21.57855268
113,0.00256218,0.296087989,0.006686664,0,0.102612173,0.378577678,0.213473316,4,29.92313461
114,0.154442309,0.150660301,0.000558001,0,0.055862112,0.600967202,0.037510075,4,25.36673073
115,0.043008064,0.271925986,0.055760455,0,0.102144152,0.506094893,0.02106645,4,28.70975808
116,0.337528675,0.25996652,0.048918098,0,0.176452353,0.177134354,0,4,19.87413975
117,0.337925236,0.312960807,0.006273445,0,0.122493856,0.220346656,0,4,19.86224292
118,0.536795295,0.202840339,0,0,0.125806914,0.134557452,0,5.367952948,13.89614116
119,0.215909091,0.227272727,0,0,0.204545455,0.352272727,0,4,23.52272727
120,0,0,0,0,0,1,0,4,30
121,0,0,0,0,0,1,0,4,30
122,0,0,0,0,0,1,0,4,30
123,0,0,0,0,0,1,0,4,30
124,0,0,0,0,0,1,0,4,30
125,0,0,0,0,0,1,0,4,30
126,0,0,0,0,0,1,0,4,30
127,0,0,0,0,0,1,0,4,30
128,0,0,0,0,0,1,0,4,30
129,0.000251953,0.55505165,0.059019904,0,0.17680776,0.141471403,0.067397329,4,29.99244142
130,0.000312461,0.023934508,0.29983752,0,0.183352081,0.399262592,0.093300837,4,29.99062617
131,0,0,0.341017889,0,0.118354749,0.43228773,0.108339632,4,30
132,0.050618673,0.015185602,0.404449444,0,0.10736158,0.358267717,0.064116985,4,28.48143982
133,0.29925674,0.166099773,0.027084908,0,0.124275636,0.219009826,0.164273117,4,21.02229781
134,0.406714538,0.193436634,0.04478458,0,0.098639456,0.174351222,0.08207357,4.067145377,17.79856387
135,0.439257593,0.260967379,0.017497813,0,0.080177478,0.115610549,0.086489189,4.392575928,16.82227222
136,0.416162761,0.170005039,0.079868985,0,0.111237087,0.163517259,0.059208869,4.161627614,17.51511716
137,0.00547997,0.510078105,0.137881078,0,0.066200554,0.215230537,0.065129756,4,29.83560091
138,0.022684664,0.16504187,0.072990876,0,0.040494938,0.646856643,0.051931009,4,29.31946007
139,0.055996473,0.35909549,0,0,0.060783573,0.519337365,0.0047871,4,28.32010582
140,0.047619048,0.398512686,0,0,0.081239845,0.465254343,0.007374078,4,28.57142857
141,0.023368607,0.276832955,0,0,0.06191736,0.59164777,0.046233308,4,29.2989418
142,0.000314941,0.22297808,0.000125976,0,0.222852104,0.426429831,0.127299068,4,29.99055178
143,0.002937133,0.277402825,0.003187102,0,0.156855393,0.454505687,0.105111861,4,29.91188601
144,0.014613253,0.550705467,0.018014613,0,0.017195767,0.292328042,0.107142857,4,29.56160242
145,0,0.003716301,0.005102041,0,0.05813807,0.834782061,0.098261527,4,30
146,0.337145357,0.167729034,0,0,0.079615048,0.401637295,0.013873266,4,19.8856393
147,0.352481733,0.260204082,0.000503905,0,0.134164777,0.222411187,0.030234316,4,19.425548
148,0.076431124,0.124521914,0.28716534,0,0.166217318,0.323844755,0.02181955,4,27.70706627
