FID,roof,road,watr,conc,Veg,dry,irr,H,W
6143,0,0,0.052307692,0,0.132307692,0.813846154,0.001538462,0.184615385,29.44615385
6144,0,0,0,0,0.0016,0.9984,0,0,30
6145,0,0,0,0,0,1,0,0,30
6146,0,0,0,0,0,1,0,0,30
6147,0,0,0,0,0.0032,0.9968,0,0,30
6148,0,0,0.001538462,0.004615385,0,0.992307692,0.001538462,0,30
6149,0,0,0.04,0,0.336,0.608,0.016,0.144,29.568
6150,0,0,0.0224,0,0.064,0.9136,0,0.032,29.904
6151,0,0,0.0448,0,0.0432,0.9104,0.0016,0,30
6152,0,0,0.181538462,0,0.461538461,0.346153846,0.010769231,0.092307692,29.72307692
6153,0,0,0.0944,0,0.6752,0.2256,0.0048,0,30
6154,0,0,0.0016,0.1088,0.3328,0.5568,0,0,30
6155,0,0,0,0.0048,0.016,0.9792,0,0,30
6156,0,0,0,0,0,1,0,0,30
6157,0,0,0,0,0,1,0,0,30
6158,0,0,0,0,0,0.9968,0.0032,0,30
6159,0,0,0,0,0,1,0,0,30
6160,0,0,0,0,0,1,0,0,30
6161,0,0,0,0.848,0.0192,0.1328,0,0,30
6162,0,0,0,0.4496,0.2592,0.2912,0,0,30
6163,0,0,0.066153846,0.109230769,0.427692308,0.396923077,0,0,30
6164,0,0,0.0288,0,0.8912,0.08,0,0,30
6165,0,0,0.2944,0,0.6576,0.048,0,0,30
6166,0,0,0.5088,0,0.4352,0.056,0,0,30
6167,0,0,0.5184,0,0.16,0.3216,0,0,30
6168,0,0,0.003076923,0.689230769,0.04923077,0.258461538,0,0,30
6169,0,0,0,0.8608,0,0.1392,0,0,30
6170,0,0,0.0288,0.3712,0.2208,0.3792,0,0,30
6171,0,0,0.632,0,0.2384,0.1296,0,0,30
6172,0,0,0.141538462,0,0.695384615,0.163076923,0,0,30
6173,0,0,0.384,0,0.12,0.496,0,0,30
6174,0.244959557,0,0.0448,0.182240443,0.3008,0.2192,0.008,1.52352,20.064
6175,0.541689627,0,0,0.152710373,0.1536,0.1488,0.0032,2.76736,11.952
6176,0.418805395,0,0,0.341194605,0.1408,0.0992,0,2.10496,16.272
6177,0.711222222,0,0,0.028777777,0.181538462,0.075384615,0.003076923,3.672923077,6.046153846
